time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rota_x,rota_y,rota_z
0.00,-0.000542,0.009017,0.075281,-0.185752,-0.130232,0.207330,-0.258396,-0.183194,0.218877
0.01,-0.012141,-0.007869,0.093244,-0.428852,0.002592,0.204443,-0.393538,-0.060976,0.214430
0.02,-0.068082,-0.042147,-0.068776,-0.540049,0.140961,0.173618,-0.546938,0.105228,0.141413
0.03,-0.068082,-0.042147,-0.068776,-0.531444,0.099384,0.117025,-0.546938,0.105228,0.141413
0.04,-0.061929,-0.063241,-0.068283,-0.395897,0.027182,0.054374,-0.238685,0.008195,0.041180
0.05,-0.061929,-0.063241,-0.068283,-0.184815,0.026534,0.028649,-0.238685,0.008195,0.041180
0.06,-0.016989,-0.023623,-0.146391,-0.001697,0.012286,0.036383,0.069757,-0.060283,0.066055
0.07,0.011405,-0.004023,-0.082319,0.076483,-0.070321,0.065889,0.089439,-0.136793,0.114702
0.08,0.034204,0.017797,0.010690,0.089092,-0.130567,0.117653,0.066621,-0.145019,0.160547
0.09,0.040118,0.029325,0.035035,0.051781,-0.129679,0.162142,0.009614,-0.145561,0.191898
0.10,0.027082,0.013393,0.030335,-0.006261,-0.132126,0.186751,-0.038296,-0.130807,0.199562
0.11,0.011426,-0.003009,0.009464,-0.040938,-0.101964,0.188111,-0.042991,-0.084914,0.181423
0.12,-0.006693,-0.009790,-0.042251,-0.040504,-0.066225,0.167374,-0.032477,-0.087775,0.153396
0.13,-0.019057,-0.021412,-0.048113,-0.028322,-0.085610,0.136891,-0.024810,-0.147596,0.135116
0.14,-0.011454,-0.028902,-0.013254,-0.021047,-0.148422,0.125375,-0.005787,-0.202943,0.142215
0.15,0.007474,-0.017348,-0.010957,0.000460,-0.201757,0.136527,0.024996,-0.265677,0.148493
0.16,0.011782,-0.003442,-0.018660,0.036296,-0.267219,0.141900,0.059356,-0.316871,0.152761
0.17,0.005922,-0.002182,-0.013863,0.061413,-0.309949,0.143186,0.069192,-0.329174,0.164726
0.18,0.005155,0.002081,-0.007181,0.074127,-0.311619,0.162820,0.090526,-0.298013,0.188248
0.19,0.004681,0.013461,0.002154,0.097158,-0.268998,0.187554,0.095477,-0.235678,0.207957
0.20,-0.004670,0.020311,0.011011,0.087974,-0.204553,0.203338,0.070795,-0.167581,0.213007
0.21,-0.016428,0.011173,0.012145,0.064050,-0.139337,0.202065,0.042421,-0.128202,0.204700
0.22,-0.021618,-0.005039,0.003507,0.035014,-0.111785,0.192327,0.023350,-0.118782,0.198019
0.23,-0.012625,-0.013042,-0.001071,0.024618,-0.106826,0.189393,0.026200,-0.123449,0.192955
0.24,0.002189,-0.006277,-0.006186,0.029308,-0.111939,0.181686,0.045470,-0.130579,0.184550
0.25,0.007331,-0.004593,-0.003159,0.053568,-0.116873,0.174323,0.069066,-0.125379,0.176202
0.26,0.005734,-0.003980,0.001007,0.076310,-0.106645,0.167409,0.073692,-0.092303,0.168702
0.27,0.001419,-0.002181,0.004408,0.073996,-0.071556,0.159903,0.059618,-0.052497,0.159895
0.28,-0.003698,-0.000468,0.000722,0.056183,-0.025197,0.153304,0.045484,-0.010673,0.168099
0.29,-0.004803,-0.003872,0.000249,0.043306,0.012132,0.158540,0.040316,0.016047,0.166695
0.30,-0.009056,-0.002622,0.001285,0.041305,0.030547,0.162469,0.048182,0.009909,0.167652
0.31,-0.009986,-0.000612,0.005497,0.052675,0.020784,0.161395,0.061397,-0.010113,0.170242
0.32,-0.006332,0.002397,0.004904,0.062134,-0.002749,0.161179,0.069289,-0.048675,0.166877
0.33,-0.003915,0.002621,0.001753,0.070053,-0.045656,0.155390,0.075428,-0.098849,0.157477
0.34,-0.002596,-0.002286,-0.001617,0.074248,-0.097941,0.144041,0.067335,-0.139325,0.141701
0.35,0.002923,-0.005091,-0.003493,0.063578,-0.129197,0.130133,0.056143,-0.157386,0.127136
0.36,0.007610,0.003728,-0.004742,0.054228,-0.148628,0.113329,0.049862,-0.164003,0.108872
0.37,0.006902,0.010008,-0.003686,0.044729,-0.152528,0.093569,0.034046,-0.150079,0.087981
0.38,0.007184,0.007302,-0.002811,0.030225,-0.129699,0.074759,0.016804,-0.116596,0.066427
0.39,0.006679,0.002971,-0.003558,0.012122,-0.095535,0.052136,-0.001042,-0.081929,0.046791
0.40,0.005056,0.000207,-0.003506,-0.004881,-0.055851,0.039187,-0.018626,-0.039568,0.035217
0.41,0.001597,-0.003004,-0.002604,-0.022483,-0.016545,0.022677,-0.033843,0.000241,0.020225
0.42,-0.001912,-0.006061,-0.000999,-0.033250,0.025647,0.008835,-0.041218,0.037176,0.005895
0.43,-0.002399,-0.010131,0.001849,-0.041567,0.061751,-0.007860,-0.042805,0.065959,-0.008095
0.44,-0.001349,-0.010636,0.001560,-0.044222,0.087366,-0.020626,-0.040554,0.089734,-0.021904
0.45,-0.002440,-0.008471,0.002676,-0.041447,0.104573,-0.030919,-0.033313,0.077655,-0.027386
0.46,-0.001033,-0.002314,0.003707,-0.028519,0.086057,-0.035684,-0.017324,0.041321,-0.021904
0.47,-0.001237,0.006840,0.002570,-0.016303,0.045603,-0.028588,-0.007637,0.003974,-0.012718
0.48,0.001906,0.013944,-0.002263,-0.008759,0.008699,-0.017325,-0.013033,-0.019156,0.002751
0.49,0.000883,0.016064,-0.001714,-0.016205,-0.009678,-0.003207,-0.030896,-0.015813,0.021890
0.50,-0.004044,0.015742,-0.001303,-0.036133,0.001402,0.019003,-0.052530,0.009187,0.035012
0.51,-0.006735,0.007270,-0.000209,-0.056964,0.033321,0.029451,-0.070807,0.031777,0.045288
0.52,-0.004787,-0.004940,-0.001341,-0.074376,0.048331,0.036877,-0.078181,0.020967,0.050236
0.53,-0.004271,-0.003077,-0.001296,-0.078489,0.024498,0.042111,-0.068761,-0.044190,0.045964
