time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rota_x,rota_y,rota_z
0.00,0.002539,0.001474,0.008387,0.092612,-0.115560,-0.008053,0.093733,-0.125806,-0.001326
0.01,0.001340,0.003268,0.007061,0.092612,-0.115560,-0.008053,0.095974,-0.137517,0.001557
0.02,0.003493,-0.003068,-0.001250,0.071870,-0.096149,-0.008832,0.056197,-0.083286,-0.001200
0.03,0.003493,-0.003068,-0.001250,0.046893,-0.060476,-0.009123,0.056197,-0.083286,-0.001200
0.04,0.000875,-0.009404,-0.007202,0.013419,-0.032241,-0.014503,-0.010158,-0.016660,-0.002815
0.05,0.000875,-0.009404,-0.007202,-0.017447,0.008654,-0.011297,-0.010158,-0.016660,-0.002815
0.06,-0.006638,-0.003506,-0.004339,-0.052052,0.057905,-0.000516,-0.071300,0.077610,0.017131
0.07,-0.008581,-0.005914,-0.003402,-0.075457,0.097904,0.011767,-0.084791,0.091648,0.027922
0.08,-0.007027,-0.006074,-0.001981,-0.087333,0.098659,0.024686,-0.071410,0.060375,0.034366
0.09,-0.002079,-0.004050,0.000864,-0.065537,0.062613,0.028528,-0.040813,0.011329,0.037170
0.10,0.000420,-0.003753,0.003289,-0.031061,0.014859,0.027775,-0.003665,-0.036547,0.031613
0.11,0.003806,-0.001401,0.009091,0.010172,-0.031209,0.019588,0.030856,-0.067926,0.017790
0.12,0.005024,-0.000060,0.008929,0.038226,-0.057973,0.012050,0.042213,-0.070799,0.012190
0.13,0.003904,-0.001652,0.004355,0.043351,-0.055962,0.004998,0.037091,-0.059947,0.008420
0.14,0.001790,-0.004469,-0.000466,0.033512,-0.040712,-0.000631,0.022404,-0.030648,0.003878
0.15,0.001209,-0.004243,-0.000575,0.020986,-0.005414,-0.006906,0.012435,0.009414,0.000165
0.16,-0.000710,-0.002786,-0.001985,0.010294,0.031909,-0.005105,0.010397,0.029115,0.005074
0.17,-0.004796,-0.001078,0.002475,0.013234,0.047406,-0.002286,0.025434,0.024757,0.007913
0.18,-0.001534,-0.002576,0.003431,0.031082,0.032379,0.002963,0.044226,0.008148,0.016069
0.19,-0.000054,0.001590,0.005544,0.048476,0.019547,0.007127,0.055314,0.010364,0.020984
0.20,-0.003944,0.000047,0.005193,0.049891,0.030351,0.017314,0.049342,0.026298,0.026305
0.21,-0.006763,-0.001374,0.004176,0.048206,0.039449,0.019895,0.047503,0.008326,0.016746
0.22,-0.002955,-0.000692,0.002660,0.046856,0.013871,0.006497,0.044027,-0.021795,0.009481
0.23,0.002290,0.001926,0.000413,0.041923,-0.005346,0.003479,0.034645,0.000034,0.009626
0.24,-0.002650,0.003406,0.001706,0.028792,0.021881,0.001051,0.014735,0.046520,0.003067
0.25,-0.007713,0.001927,0.004667,0.006433,0.069285,-0.012269,-0.007043,0.062963,-0.019919
0.26,-0.008785,0.003341,0.006035,-0.008767,0.072545,-0.034649,-0.009595,0.038828,-0.034750
0.27,-0.003637,0.005549,0.006589,-0.010251,0.049668,-0.041331,-0.002474,0.037011,-0.023055
0.28,-0.002522,0.006871,0.004370,0.002169,0.055489,-0.025385,0.019269,0.070375,-0.011357
0.29,-0.007087,-0.001043,0.009990,0.028408,0.088917,-0.018741,0.058411,0.068285,-0.009577
0.30,-0.014019,0.000952,0.018378,0.068592,0.073013,-0.016426,0.101889,0.007053,-0.009586
0.31,-0.025274,0.011438,0.035224,0.113340,-0.002162,-0.022588,0.148625,-0.086838,-0.027743
0.32,-0.039648,0.015454,0.043583,0.159656,-0.092639,-0.038146,0.174184,-0.180028,-0.039683
0.33,-0.037134,0.002234,0.034529,0.177196,-0.183039,-0.049143,0.172958,-0.244903,-0.051165
0.34,-0.035757,-0.003026,0.027327,0.172346,-0.242489,-0.063015,0.161586,-0.264442,-0.064623
0.35,-0.032554,-0.000270,0.018303,0.151279,-0.247097,-0.072230,0.124202,-0.207302,-0.078293
0.36,-0.032325,0.002486,0.016995,0.107824,-0.180295,-0.093687,0.060975,-0.110830,-0.100310
0.37,-0.048790,0.001470,0.031882,0.042230,-0.078030,-0.110376,-0.009310,-0.026629,-0.100351
0.38,-0.042103,0.010779,0.031279,-0.012397,0.024037,-0.107653,-0.028160,0.064586,-0.089917
0.39,-0.023159,0.013614,0.004494,-0.041741,0.076382,-0.094569,-0.062023,0.063853,-0.092775
