time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rota_x,rota_y,rota_z
0.00,0.011000,0.005050,0.000754,-0.142876,0.176546,-0.029649,-0.126841,0.155643,-0.019743
0.01,0.008057,0.002369,0.006284,-0.089509,0.147703,-0.010918,-0.075721,0.122843,-0.005156
0.02,0.024062,0.000835,0.003666,-0.051271,0.088614,-0.014652,-0.041171,0.058128,-0.012737
0.03,0.000589,-0.000311,0.008496,-0.015803,0.008873,-0.018602,-0.005596,-0.028070,-0.008095
0.04,0.007498,-0.000352,0.001131,0.032243,-0.142063,-0.004568,0.039092,-0.165208,0.007560
0.05,0.007498,-0.000352,0.001131,0.032243,-0.142063,-0.004568,0.039092,-0.165208,0.007560
0.06,0.006973,-0.010505,-0.002426,0.057885,-0.191606,0.013100,0.063059,-0.219065,0.019892
0.07,0.012464,-0.010121,-0.000661,0.078337,-0.238421,0.018124,0.084809,-0.259461,0.025001
0.08,0.004228,0.000958,0.001631,0.100336,-0.249926,0.013477,0.102827,-0.261861,0.021948
0.09,0.008401,-0.005415,0.001116,0.107090,-0.188953,0.007042,0.108400,-0.232702,0.012895
0.10,0.011276,-0.014803,-0.001846,0.107090,-0.188953,0.007042,0.103607,-0.188876,0.017798
0.11,0.008268,-0.012007,-0.004721,0.091453,-0.129889,0.015313,0.084853,-0.123182,0.023995
0.12,-0.001881,-0.000087,-0.002198,0.036032,0.039617,0.023477,0.054290,-0.035950,0.025083
0.13,-0.011249,0.003735,0.001427,0.036032,0.039617,0.023477,0.029209,0.039902,0.030863
0.14,-0.007732,0.007154,0.001735,0.015029,0.085895,0.031179,0.018921,0.063134,0.040152
0.15,-0.007732,0.007154,0.001735,0.015029,0.085895,0.031179,0.018921,0.063134,0.040152
0.16,-0.000057,-0.003017,0.001019,0.034164,0.022560,0.014038,0.028745,0.028331,0.032382
0.17,0.002183,-0.003450,-0.000648,0.040600,0.014129,-0.005458,0.038841,0.001375,0.015272
0.18,0.002975,-0.008044,0.000217,0.035254,0.019106,-0.022500,0.041254,0.000177,-0.003454
0.19,0.001193,-0.007830,-0.002825,0.019223,0.033312,-0.026697,0.016694,0.023777,-0.022713
0.20,0.001193,-0.007830,-0.002825,0.019223,0.033312,-0.026697,0.016694,0.023777,-0.022713
0.21,0.004685,-0.003175,-0.005749,-0.030833,0.075587,-0.038664,-0.010235,0.041681,-0.025549
0.22,0.007738,0.000540,-0.008757,-0.049723,0.099831,-0.042791,-0.034147,0.068351,-0.031203
0.23,0.004526,0.000739,-0.007279,-0.049723,0.099831,-0.042791,-0.056527,0.091936,-0.033283
0.24,0.001930,-0.005416,-0.001535,-0.055756,0.107349,-0.035210,-0.058538,0.088818,-0.026641
0.25,0.001930,-0.005416,-0.001535,-0.046109,0.073695,-0.032292,-0.058538,0.088818,-0.026641
0.26,-0.000722,0.001868,0.000747,-0.046109,0.073695,-0.032292,-0.043268,0.046853,-0.021709
0.27,0.000096,0.001782,0.001347,-0.009974,-0.015055,-0.024212,-0.023226,-0.005553,-0.015185
0.28,0.004587,0.000101,0.000558,0.012537,-0.037309,-0.018251,-0.005120,-0.035720,-0.015652
0.29,0.005892,-0.002162,0.001164,0.028173,-0.061557,-0.020784,0.030841,-0.080818,-0.012140
0.30,0.005892,-0.002162,0.001164,0.043604,-0.082667,-0.019992,0.030841,-0.080818,-0.012140
0.31,0.007704,-0.001000,0.001957,0.036741,-0.093657,-0.038377,0.045240,-0.102564,-0.014457
0.32,0.012424,0.002425,-0.000635,0.026760,-0.068118,-0.037820,0.035953,-0.104928,-0.034880
0.33,-0.007993,0.007253,0.002988,0.024753,-0.037455,-0.012798,0.026249,-0.072673,-0.024253
0.34,0.027159,0.003207,-0.008985,0.018772,-0.022629,-0.002166,0.018556,-0.033712,0.010590
0.35,0.027159,0.003207,-0.008985,0.012885,-0.010241,0.014511,0.018556,-0.033712,0.010590
0.36,0.013683,0.012177,-0.007058,0.010321,0.003953,0.027627,0.014752,-0.018509,0.023530
0.37,0.013068,0.018438,-0.004312,0.015970,0.024089,0.044977,0.013045,-0.002931,0.040674
0.38,0.013928,0.020034,-0.001993,0.024509,0.027379,0.042336,0.017238,0.014077,0.051643
0.39,0.005166,0.019271,0.004501,0.035999,0.023889,0.043777,0.039954,0.001640,0.051377
0.40,0.005166,0.019271,0.004501,0.058115,-0.009881,0.048476,0.039954,0.001640,0.051377
0.41,0.011073,0.019409,0.005995,0.079796,-0.068451,0.049350,0.063839,-0.038336,0.057700
0.42,0.015725,0.017241,-0.001109,0.090630,-0.106138,0.052429,0.082110,-0.095861,0.056505
0.43,0.012309,0.017095,0.002642,0.091634,-0.125549,0.051457,0.093149,-0.130084,0.061761
0.44,0.012267,0.018874,-0.002262,0.078895,-0.116188,0.051748,0.072701,-0.127749,0.061487
0.45,0.012267,0.018874,-0.002262,0.053515,-0.088906,0.063917,0.072701,-0.127749,0.061487
0.46,0.014255,0.022192,-0.004507,0.025827,-0.053445,0.082323,0.045272,-0.093113,0.077442
0.47,0.018765,0.026375,-0.009700,-0.004677,-0.014062,0.101018,0.017810,-0.059403,0.096054
0.48,0.022300,0.025362,-0.009895,-0.026284,0.026725,0.106935,-0.012944,-0.018908,0.112895
0.49,0.019304,0.021057,-0.008018,-0.047360,0.056783,0.117497,-0.031845,0.014252,0.117542
0.50,0.015516,0.016675,-0.007719,-0.052070,0.076618,0.124805,-0.049061,0.053465,0.124460
0.51,0.014113,0.017882,-0.007282,-0.051074,0.079132,0.137831,-0.058441,0.063311,0.138085
0.52,0.012750,0.019326,0.000626,-0.034529,0.067922,0.146013,-0.050087,0.066304,0.148481
0.53,0.009050,0.017193,0.002996,-0.008728,0.042807,0.147118,-0.027133,0.053183,0.157917
0.54,0.004668,0.012220,0.004597,0.017287,0.014435,0.139856,-0.002149,0.022796,0.153609
0.55,-0.000276,0.008157,0.006378,0.042394,-0.012814,0.121546,0.023255,-0.008357,0.143588
0.56,-0.006001,0.001325,0.009501,0.061454,-0.040864,0.100715,0.046836,-0.037980,0.125550
0.57,-0.011679,-0.001456,0.009775,0.064863,-0.055901,0.088925,0.066443,-0.060473,0.103387
0.58,-0.007063,-0.003367,0.005273,0.064716,-0.055842,0.086284,0.059684,-0.067719,0.092574
0.59,-0.007063,-0.003367,0.005273,0.048360,-0.056115,0.083483,0.059684,-0.067719,0.092574
