time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rota_x,rota_y,rota_z
0.00,0.000902,0.002800,0.012857,0.042907,0.019284,-0.063613,0.058961,-0.010197,-0.053897
0.01,-0.002818,0.010803,0.012049,0.065688,-0.020914,-0.052864,0.063367,-0.029962,-0.046353
0.02,-0.003686,0.011051,0.005337,0.049474,-0.020818,-0.046061,0.055228,-0.039234,-0.036351
0.03,-0.003332,0.003284,-0.000800,0.040429,-0.014397,-0.035380,0.041171,-0.030235,-0.031826
0.04,-0.004840,-0.004203,-0.003380,0.022151,-0.009686,-0.025631,0.027057,-0.024540,-0.018317
0.05,-0.004142,-0.009583,-0.001506,0.014258,0.003352,-0.018696,0.017334,-0.014417,-0.012489
0.06,-0.003527,-0.012512,-0.002512,0.011826,0.023690,-0.014619,0.014104,0.003047,-0.008698
0.07,-0.008516,-0.012466,0.000301,0.008093,0.021415,-0.011686,0.009656,0.007631,-0.003575
0.08,-0.005893,-0.007826,0.001520,0.007218,0.011748,-0.009247,0.006685,-0.000063,-0.001947
0.09,-0.004191,-0.003407,-0.000068,0.004277,0.015392,-0.014659,0.007223,0.000084,-0.004884
0.10,-0.002345,-0.002874,0.000301,-0.001055,0.038924,-0.019382,-0.000877,0.017611,-0.009933
0.11,-0.002650,-0.002098,0.001493,-0.006673,0.064853,-0.019241,-0.006832,0.044195,-0.010474
0.12,-0.004500,-0.003505,0.002454,-0.009949,0.079746,-0.016972,-0.009336,0.061482,-0.007081
0.13,-0.002166,-0.006228,0.000956,-0.003092,0.075086,-0.008751,-0.005118,0.062492,-0.000272
0.14,-0.003781,-0.006305,0.001864,0.013329,0.058599,-0.003320,0.007127,0.049207,0.004008
0.15,-0.002912,-0.006976,0.001632,0.031548,0.031711,-0.000233,0.024105,0.025798,0.004843
0.16,-0.003570,-0.007458,0.003066,0.050691,0.003668,-0.002503,0.046113,-0.003059,0.007851
0.17,-0.001116,-0.007691,0.003485,0.063427,-0.020429,-0.009190,0.060688,-0.032330,0.002838
0.18,-0.001191,-0.008927,0.003209,0.068143,-0.030564,-0.011172,0.068871,-0.040279,-0.004375
0.19,0.000531,-0.005740,0.002139,0.060064,-0.020271,-0.013253,0.065277,-0.037626,-0.003595
0.20,0.000684,-0.002701,0.000102,0.046238,0.005217,-0.008054,0.050341,-0.017814,-0.002064
0.21,0.000738,-0.003853,-0.001788,0.030514,0.035854,-0.006050,0.035863,0.013927,0.002321
