time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rota_x,rota_y,rota_z
0.00,0.003756,-0.000092,0.012417,-0.043203,0.030413,-0.064981,-0.051334,0.008218,-0.054632
0.01,0.002952,0.011056,0.011200,-0.023948,0.053742,-0.055595,-0.027489,0.034791,-0.048246
0.02,-0.000295,0.008472,0.003358,-0.011818,0.051801,-0.045548,-0.009348,0.012806,-0.029346
0.03,-0.000295,0.008472,0.003358,-0.010876,0.021536,-0.034147,-0.009348,0.012806,-0.029346
0.04,-0.000772,-0.001864,-0.004805,-0.021491,-0.013055,-0.015774,-0.030630,-0.051744,0.007996
0.05,-0.000772,-0.001864,-0.004805,-0.034186,-0.051126,0.003444,-0.030630,-0.051744,0.007996
0.06,-0.003531,-0.002875,-0.008993,-0.049039,-0.072312,0.022743,-0.062998,-0.090905,0.036540
0.07,-0.001445,-0.001062,-0.005481,-0.063987,-0.074185,0.029083,-0.074736,-0.075032,0.042405
0.08,-0.001445,-0.001062,-0.005481,-0.076748,-0.052626,0.038154,-0.074736,-0.075032,0.042405
0.09,-0.003622,0.001694,0.002760,-0.074983,-0.016002,0.049086,-0.062300,-0.014202,0.063226
0.10,-0.003622,0.001694,0.002760,-0.053578,0.004468,0.055688,-0.062300,-0.014202,0.063226
0.11,-0.006121,-0.001151,0.009210,-0.026891,0.004897,0.060640,-0.012952,-0.026262,0.070920
0.12,-0.011312,-0.003045,0.010370,-0.007950,-0.018962,0.061983,0.003048,-0.048522,0.080300
0.13,-0.011450,-0.006061,0.006727,-0.002408,-0.037477,0.072734,-0.008973,-0.055822,0.075325
0.14,-0.005686,-0.012396,-0.000199,-0.010186,-0.044060,0.061823,-0.029739,-0.032818,0.062602
0.15,-0.005686,-0.012396,-0.000199,-0.037155,-0.009372,0.055180,-0.029739,-0.032818,0.062602
0.16,-0.019585,-0.016148,0.003964,-0.068345,0.049797,0.035646,-0.083592,0.062746,0.033147
0.17,-0.031273,-0.013356,0.007423,-0.085083,0.080822,0.022391,-0.090505,0.061011,0.021599
0.18,-0.029893,-0.008261,0.007982,-0.092059,0.067958,0.014320,-0.084173,0.024901,0.009717
0.19,-0.031969,-0.008078,0.015034,-0.079916,0.029469,-0.002611,-0.060801,-0.017604,-0.015612
0.20,-0.031969,-0.008078,0.015034,-0.052427,-0.011130,-0.030715,-0.060801,-0.017604,-0.015612
0.21,-0.024287,-0.018188,0.015861,-0.020625,-0.065781,-0.055928,0.007280,-0.122035,-0.065315
0.22,-0.018906,-0.011899,0.015931,0.014976,-0.122697,-0.076944,0.038597,-0.150378,-0.081300
0.23,-0.007130,-0.005465,0.014395,0.047662,-0.132346,-0.092242,0.065866,-0.139544,-0.087581
0.24,0.004287,0.002466,0.007130,0.075624,-0.114685,-0.094208,0.084265,-0.105738,-0.075261
0.25,0.004287,0.002466,0.007130,0.086256,-0.077639,-0.079512,0.084265,-0.105738,-0.075261
0.26,0.020767,0.020699,-0.003492,0.087694,-0.049351,-0.067238,0.081160,-0.041739,-0.047820
0.27,0.019391,0.018099,-0.007723,0.077646,-0.022587,-0.053339,0.073257,-0.011175,-0.033497
0.28,0.022570,0.016557,-0.009416,0.071879,0.004534,-0.037420,0.068869,0.007618,-0.014140
0.29,0.027918,0.018186,-0.014546,0.069840,0.025415,-0.019946,0.059355,0.020518,-0.006718
0.30,0.027478,0.012849,-0.011040,0.058455,0.035684,-0.015571,0.046098,0.031478,-0.008926
0.31,0.018583,0.004477,-0.010316,0.042761,0.045155,-0.014523,0.027079,0.046872,-0.008210
0.32,0.012631,-0.001818,-0.008025,0.022466,0.063488,-0.015575,0.005497,0.064713,-0.002130
0.33,0.007748,-0.005258,-0.010243,0.000729,0.081672,-0.005355,-0.006876,0.078365,0.014739
0.34,0.009957,-0.005262,-0.014102,-0.010615,0.090268,0.009565,-0.016617,0.058180,0.014252
0.35,0.006040,-0.007329,-0.004512,-0.015200,0.057654,0.004336,-0.009867,0.009412,0.003178
0.36,-0.006127,-0.013773,0.002876,-0.007442,0.017402,-0.009860,0.005210,-0.019701,-0.014901
0.37,-0.005124,-0.016984,0.004252,0.010132,-0.005295,-0.030300,0.021704,-0.026143,-0.027626
0.38,-0.007245,-0.024728,0.004292,0.028514,-0.015449,-0.040389,0.029519,-0.034709,-0.034207
0.39,-0.004178,-0.024670,0.003237,0.026158,-0.017816,-0.040713,0.019413,-0.020502,-0.026025
0.40,-0.005818,-0.019275,-0.002132,0.014714,-0.002571,-0.035459,-0.002826,0.002622,-0.026610
0.41,-0.013085,-0.021671,-0.001629,-0.010635,0.022116,-0.033795,-0.031423,0.029796,-0.031463
0.42,-0.019851,-0.025926,0.005932,-0.034527,0.053906,-0.042167,-0.038596,0.065716,-0.039489
0.43,-0.029414,-0.029951,0.008611,-0.030117,0.091728,-0.046784,-0.020002,0.069558,-0.035255
0.44,-0.029515,-0.023227,0.001454,-0.018289,0.078927,-0.045199,-0.008812,0.050714,-0.045476
0.45,-0.032983,-0.026368,0.017226,-0.001878,0.050741,-0.055135,0.006292,0.017881,-0.061820
0.46,-0.035694,-0.037662,0.016576,0.011722,0.027808,-0.076117,0.009513,-0.006135,-0.081345
0.47,-0.043041,-0.042229,0.014625,0.008699,0.004650,-0.093606,-0.014603,-0.010281,-0.098369
0.48,-0.044542,-0.040666,0.014300,-0.015167,0.019512,-0.112811,-0.040080,0.012848,-0.114373
0.49,-0.044298,-0.037115,0.005031,-0.048006,0.025030,-0.127586,-0.061203,0.009602,-0.134166
0.50,-0.041651,-0.037807,0.013870,-0.068559,0.018488,-0.147103,-0.078889,-0.005602,-0.152560
0.51,-0.038960,-0.038106,0.011468,-0.079931,0.014534,-0.160798,-0.080182,-0.028112,-0.151812
0.52,-0.031172,-0.031074,0.002246,-0.074216,-0.017426,-0.159792,-0.074207,-0.041344,-0.143240
0.53,-0.024428,-0.027393,0.008016,-0.072924,-0.029563,-0.146462,-0.060896,-0.039374,-0.126969
0.54,-0.020215,-0.023233,0.001678,-0.071121,-0.048630,-0.132770,-0.061548,-0.040084,-0.123107
0.55,-0.027622,-0.023011,0.009804,-0.065996,-0.042672,-0.128046,-0.052659,-0.068951,-0.117661
0.56,-0.030410,-0.025243,0.009296,-0.054141,-0.059727,-0.124141,-0.052814,-0.065046,-0.116000
0.57,-0.036958,-0.030203,0.020492,-0.054301,-0.059230,-0.122543,-0.050749,-0.061450,-0.111799
